Query, Region, Mean (Baseline), Mean (MissForest), Mean (ProxyRep), Mean (Hybrid)
U5MR-WSH-2004, Europe+Western Pacific, 0.5722104666703679, 0.6530975831721938, 0.5130394495315873, 0.5626793531518657
U5MR-WSH-2004, Europe, 0.6962458042185062, 0.6907122630370888, 0.6135716220526424, 0.5354069998173
U5MR-WSH-2004, Eastern Mediterranean+Europe, 0.45388713706395695, 0.22804147991738868, 0.45388713706395695, 0.22804147991738868
U5MR-WSH-2004, Africa+Eastern Mediterranean, 0.8586854232725867, 0.615207030008456, 0.4515153694400172, 0.33726744288908656
U5MR-WSH-2004, Africa, 1.1133680381507438, 1.1165861538783466, 0.7841852754247813, 0.7714698693354273
U5MR-WSH-2004, Africa+South-East Asia, 0.8973622267540133, 0.6527328795681446, 0.6187209022756257, 0.3446413144314583
U5MR-WSH-2004, Americas, 0.5247341676188004, 0.5260739760504779, 0.483850248915728, 0.4996535239421965
U5MR-WSH-2004, Americas+Europe, 0.6117328238650279, 0.597131776578359, 0.549544975707375, 0.4964561540525294
U5MR-WSH-2004, Eastern Mediterranean+South-East Asia, 0.07849904181876399, 0.08290464801513045, 0.1600996719879082, 0.3034903495978271
U5MR-WSH-2004, Europe+South-East Asia, 0.5217798772784723, 0.5388841160377787, 0.5217798772784723, 0.5388841160377787
U5MR-WSH-2004, Americas+Western Pacific, 0.46772922137320777, 0.4917493522928917, 0.44271868018040894, 0.4635680090068479
IPV-AUD-2004, Europe, 0.6911451031355612, 0.6935975926667761, 0.7650698580511195, 0.7022580070281557
IPV-AUD-2004, Eastern Mediterranean, 0.6450618619138259, 0.648862036552887, 0.608463002648848, 0.5897073419444536
IPV-AUD-2004, Africa, 0.9995608161484236, 0.9874457324687914, 0.8031633101281831, 0.41327230454980246
IPV-AUD-2004, Western Pacific, 0.5941753907827191, 0.5988347947520827, 0.3620374261488641, 0.3510252831990205
IPV-AUD-2004, Americas+Europe, 0.20311843373791857, 0.044680374526517894, 0.28916335006056404, 0.029180531427575103
IPV-AUD-2004, South-East Asia+Western Pacific, 0.4576174820161669, 0.20396375342490944, 0.5362195016438831, 0.2583513045844329
IPV-AUD-2004, Africa+Eastern Mediterranean, 0.5011903076447117, 0.06803935289401478, 0.4251700453898067, 0.09637226915298115
IPV-AUD-2004, Africa+Western Pacific, 0.453136973772032, 0.27963775382874867, 0.02499891849801002, 0.1033604605761154
IPV-AUD-2004, Eastern Mediterranean+Western Pacific, 0.6173056049332223, 0.6190684533474041, 0.45904872687187975, 0.5515206140252558
IPV-AUD-2004, Europe+South-East Asia, 0.5937085424237178, 0.5936749350031092, 0.6232680141302193, 0.6240793564381073
IPV-AUD-2004, Americas+South-East Asia, 0.32712519843210375, 0.19503554155760014, 0.22060407816956812, 0.19831053270674162
IPV-AUD-2004, Africa+South-East Asia, 0.7758490359832787, 0.48688721949411523, 0.4209974813020322, 0.1465573447362476
IPV-AUD-2004, Americas, 0.48011890341878205, 0.4725420415425738, 0.3617299705831461, 0.38472130986818714
MCV2_0-MCV1-2019, Africa, 0.21329558936422638, 0.2081733954781784, 0.0967181938725661, 0.06097500117966502
LEaB-IMR-2019, Americas+Europe, 0.06257637268468066, 0.05647828611508448, 0.053425292136389656, 0.041711456640355825
LEaB-IMR-2019, Europe+Western Pacific, 0.05865321822851073, 0.07392984883877811, 0.018935928159081735, 0.03894954287745694
LEaB-IMR-2019, Europe, 0.08019523475046746, 0.0807223831703017, 0.028730246925598304, 0.03252618265403651
LEaB-IMR-2019, Africa+Western Pacific, 0.0790661447885057, 0.061024971889070384, 0.035604804860573436, 0.03611457131055594
LEaB-IMR-2019, Africa+South-East Asia, 0.094776730375162, 0.0627312373377706, 0.029802449325026115, 0.029203676336266648
LEaB-IMR-2019, Europe+South-East Asia, 0.06629222914890588, 0.06816250997993005, 0.03495384965606273, 0.051469540646084735
LEaB-IMR-2019, Americas+Western Pacific, 0.02479062874085222, 0.03257449735810765, 0.0270786331453128, 0.04470434643955023
LEaB-IMR-2019, Americas, 0.03588112713045883, 0.03685579772875622, 0.0396980791121316, 0.0478657936349327
LEaB-IMR-2019, Africa+Americas, 0.0543379675876767, 0.0016030043519321502, 0.013367724562646318, 0.004791813606589924
LEaB-IMR-2019, Africa, 0.11768328941104843, 0.11625347433048755, 0.07818675500854413, 0.06490861876254132
LEaB-IMR-2019, Eastern Mediterranean+Europe, 0.057754950135462724, 0.03904296256560171, 0.023232822540780802, 0.01423909380967268
LEaB-IMR-2019, Africa+Eastern Mediterranean, 0.07800753521868552, 0.04616070601604015, 0.019192668733024155, 0.016981195758756777
PCV3_0-UHCID-2019, Europe+Western Pacific, 0.04042105263157907, 0.06556540137908456, 0.0037142857142857225, 0.057846482324060276
PCV3_0-UHCID-2019, Eastern Mediterranean+Europe, 0.05534545454545469, 0.0407993838862414, 0.035272727272727254, 0.00973332993165741
PCV3_0-UHCID-2019, Africa+Eastern Mediterranean, 0.011199999999999875, 0.003213211919915125, 0.0465, 0.02344197997709739
PCV3_0-UHCID-2019, Africa+Americas, 0.0019047619047618128, 0.016096760664150056, 0.03520000000000005, 0.019804776965746385
PCV3_0-UHCID-2019, Europe, 0.07550000000000007, 0.07856083571428281, 0.05942857142857156, 0.07282522448979262
PCV3_0-UHCID-2019, Africa+South-East Asia, 0.061913043478260765, 0.16692567826296562, 0.024999999999999946, 0.17474249624541968
PCV3_0-UHCID-2019, Americas+Europe, 0.05619047619047621, 0.05092635590955968, 0.026260869565217435, 0.01702892288369003
PCV3_0-UHCID-2019, Africa+Western Pacific, 0.02378947368421052, 0.026054194838583216, 0.0047741935483870184, 0.030419198515033205
PCV3_0-UHCID-2019, Americas, 0.022608695652173993, 0.03561103105590115, 0.037333333333333205, 0.017499428571430713
PCV3_0-UHCID-2019, Europe+South-East Asia, 0.0176521739130435, 0.008033127976296442, 0.0078181818181817, 0.007690630354731184
PCV3_0-UHCID-2019, Africa, 0.015999999999999945, 0.013220671428570427, 0.022769230769230774, 0.04310048351648277
NCD-AAP-2019, Eastern Mediterranean+South-East Asia, 0.656691993489049, 0.07258039435675356, 0.7878550648286498, 0.7934888071049464
NCD-AAP-2019, South-East Asia, 2.7734525759303663, 2.5747676023231487, 0.6747185356419533, 0.6816859237452293
TBI-TBNRC-2019, Europe+Western Pacific, 0.35148369650113803, 0.6091308533126195, 0.4280961556418257, 0.607065885391376
TBI-TBNRC-2019, Africa, 1.0209252316166255, 1.0188778404421022, 0.6344477804329369, 0.7640164569183661
TBI-TBNRC-2019, Americas+Europe, 0.7437765880015372, 0.7306435978129641, 0.7447206383710692, 0.7089261496288131
TBI-TBNRC-2019, Europe, 0.7782190895194436, 0.7780395348705559, 0.7452008214175156, 0.7542054949872395
TBI-TBNRC-2019, South-East Asia, 1.293635312587619, 1.2763582364858532, 0.16410424596588535, 1.1741704697588744
TBI-TBNRC-2019, Africa+Eastern Mediterranean, 0.5660136062299501, 0.20503570469438612, 0.23953048951631295, 0.059629223132265395
TBI-TBNRC-2019, Africa+South-East Asia, 1.0726461090421586, 1.1459296039675746, 0.8528975466394099, 0.7051243212578542
DTP3-UHCID-2019, Americas+Western Pacific, 0.0064120325318610975, 0.008752891532407082, 0.010756685854644909, 0.003792964026670259
DTP3-UHCID-2019, Eastern Mediterranean+South-East Asia, 0.0024453184396747707, 0.0052529213802410355, 0.018927209991014753, 0.022735100921341216
DTP3-UHCID-2019, Africa+Western Pacific, 0.0476035424862843, 0.03363113050375711, 0.02607504198240498, 0.027593580341285128
DTP3-UHCID-2019, Africa+Eastern Mediterranean, 0.06415751867154265, 0.0477528998416838, 0.008080004678636293, 0.002184956672885854
DTP3-UHCID-2019, Africa, 0.08165340016151261, 0.08059807606640805, 0.060339785952394934, 0.02307646397246824
DTP3-UHCID-2019, Americas, 0.002237832965808078, 0.00627095289728435, 0.07957934807458175, 0.02089846982899972
DTP3-UHCID-2019, Europe+South-East Asia, 0.06205589508158365, 0.06252605186345483, 0.04745306743084381, 0.061557227445070334
DTP3-UHCID-2019, Americas+Europe, 0.03959094199902785, 0.03444532300079575, 0.03377562499354966, 0.02453799783008839
DTP3-UHCID-2019, Europe+Western Pacific, 0.04604216620855011, 0.05921598767155805, 0.026623034839889547, 0.0469527471910648
DTP3-UHCID-2019, Africa+South-East Asia, 0.055766519921511826, 0.013625339770344315, 0.008777759464934275, 0.012774403876396776
DTP3-UHCID-2019, Europe, 0.06355331383165959, 0.06447528010207867, 0.03329274970891435, 0.0525580447454361
DTP3-UHCID-2019, Africa+Americas, 0.046439796132760704, 0.015659425600900057, 0.023656354172758704, 0.009503477238605739
DTP3-UHCID-2019, South-East Asia, 0.05484105928576357, 0.05542647640655957, 0.102384155018812, 0.050276829460465515
DTP3-UHCID-2019, Eastern Mediterranean+Europe, 0.03842329960816415, 0.017686012374861816, 0.017203345224866936, 0.0035291708270629896
PHD-MDD-2010, Africa+Eastern Mediterranean, 0.514356699487635, 0.29163858697482015, 0.17518547642654453, 0.13127040041360888
PHD-MDD-2010, Eastern Mediterranean+Europe, 0.3892694266098134, 0.3167927430319636, 0.214841353100691, 0.11350629141930728
PHD-MDD-2010, South-East Asia+Western Pacific, 0.44843775478561004, 0.6415268558081126, 0.30974248332376625, 0.6779835678686319
PHD-MDD-2010, Europe+South-East Asia, 0.39552859207062396, 0.28915176527261977, 0.08462676058329358, 0.15697176663198087
PHD-MDD-2010, Americas+Western Pacific, 0.2560347268419587, 0.15138569103015892, 0.32523933941661215, 0.3969384817985872
PHD-MDD-2010, Africa, 0.8666042692289203, 0.8651213803823612, 0.6108878816069885, 0.6264688278108437
PHD-MDD-2010, Europe+Western Pacific, 0.3168378714137665, 0.4165636846610483, 0.10921227833007101, 0.2814538561299593
PHD-MDD-2010, South-East Asia, 0.6945164716982377, 0.6909825210531847, 0.4828883038736367, 0.42547158607311647
PHD-MDD-2010, Africa+South-East Asia, 0.8149779299697156, 0.7596869057522998, 0.47930068684309496, 0.38651687130537543
PHD-MDD-2010, Africa+Americas, 0.5805074757391615, 0.18301079197760864, 0.5389293561093406, 0.3824341522947065
PHD-MDD-2010, Americas+Europe, 0.4481696872435377, 0.3371457238787052, 0.14052642889661174, 0.051057589459387195
PHD-MDD-2010, Americas+South-East Asia, 0.34327168051757817, 0.4759824903193838, 0.457898695591932, 0.4414359112059076
PHD-MDD-2010, Africa+Western Pacific, 0.5993984065349403, 0.5225302110773307, 0.3546248094851645, 0.40096497339632226
PHD-MDD-2010, Europe, 0.5441711007663781, 0.5502125065268008, 0.301036945032759, 0.2619706696625221
BaSP-ANC-2014, Americas+Europe, 0.12278801011195377, 0.12734260356295207, 0.12510963215188572, 0.11073939149275616
BaSP-ANC-2014, Africa, 0.20548934633441676, 0.16651415215443469, 0.10148067894546768, 0.15022083816719
BaSP-ANC-2014, Africa+Eastern Mediterranean, 0.14833482500353287, 0.03203673767715298, 0.07316720837847596, 0.04465066375174773
BaSP-ANC-2014, Africa+South-East Asia, 0.20953412784398692, 0.15686850335188318, 0.18333935235343682, 0.13523963984091145
BaSP-ANC-2014, Africa+Western Pacific, 0.13821389877727908, 0.021983386549959776, 0.12665738017850697, 0.07763766144621101
BaSP-ANC-2014, Europe, 0.13698363752534937, 0.14313993422755844, 0.1267605633802817, 0.1361846207305537
MMR-BaSP-2000, Eastern Mediterranean+Europe, 0.7784847623847319, 0.7030687746335703, 0.42502788879141346, 0.3047827756629069
MMR-BaSP-2000, Americas+Europe, 0.7435980250807567, 0.7323415596769781, 0.6255865929567069, 0.6588976858651197
MMR-BaSP-2000, Africa+Western Pacific, 1.0958819068397996, 0.8408659850380451, 0.2800380403948003, 0.7143776409416681
MMR-BaSP-2000, Africa+Eastern Mediterranean, 1.517899559308643, 0.6882998542161445, 0.7538712264626865, 0.06941495547613961
MMR-BaSP-2000, Africa, 2.17696540552082, 2.0975211108302285, 0.7418238006014592, 0.36372445401980463
MMR-BaSP-2000, Africa+South-East Asia, 1.786985643267932, 1.1790159131967641, 1.034875301129322, 0.1392021997057744
MMR-BaSP-2000, Europe, 0.9003766413845369, 0.9032449941524902, 0.8093121486824576, 0.8767729528294103
MMR-BaSP-2000, Africa+Americas, 0.766343093196554, 0.03764058974084829, 0.4526115280891574, 0.1783122002730426
MMR-BaSP-2000, Europe+Western Pacific, 0.7636163832917903, 0.8591560773541185, 0.5888293205965494, 0.8129393633449506
MMR-BaSP-2000, Europe+South-East Asia, 0.7210106720780275, 0.6862926543484753, 0.33684894564122553, 0.5721912208253348
NMR-BaSP-2000, Africa+South-East Asia, 0.8493796101971001, 0.8028600255968736, 0.3043486091799168, 0.3476034913056143
NMR-BaSP-2000, Europe+South-East Asia, 0.2639445757732107, 0.2017594497768466, 0.13714418037534507, 0.10239847527586818
NMR-BaSP-2000, Eastern Mediterranean+Europe, 0.36086019440575906, 0.24843380249715297, 0.22645367895506605, 0.2144582125287559
NMR-BaSP-2000, Europe, 0.4441456783985405, 0.4378363546543428, 0.2034557000818538, 0.19612335501987055
NMR-BaSP-2000, Africa+Eastern Mediterranean, 0.6217484492410104, 0.35234544461421957, 0.29969268923504117, 0.15335588707648948
NMR-BaSP-2000, Africa+Western Pacific, 0.3934319645990974, 0.3591846854164106, 0.11151280952140809, 0.19405535137124494
NMR-BaSP-2000, Africa, 0.8882012827714092, 0.8974827567769961, 0.4544117158974184, 0.33662887519831575
NMR-BaSP-2000, Europe+Western Pacific, 0.3622127523660633, 0.40190951799105773, 0.2438329253579645, 0.2369368274225067
NMR-BaSP-2000, Americas+Europe, 0.35348393761083147, 0.34376413464992256, 0.2158578926746762, 0.2196808075641117
NMR-BaSP-2000, Africa+Americas, 0.29181697714704097, 0.014419646095667269, 0.014533548897482236, 0.10317190554237447
NCDR-AAPR-2019, Americas+Western Pacific, 0.010670934946014798, 0.08145582878785006, 0.15126594305363097, 0.017549285033236016
NCDR-AAPR-2019, Africa, 0.13921747443448376, 0.1437041399638765, 0.1421479358287511, 0.12238797977898841
NCDR-AAPR-2019, Americas, 0.14394428286296668, 0.14265509003232693, 0.0008984390427573957, 0.06619117668366592
NCDR-AAPR-2019, Eastern Mediterranean, 0.09017593029063709, 0.09309476075657142, 0.005138910087553184, 0.047136805855114164
NCDR-AAPR-2019, Africa+South-East Asia, 0.10603665521716255, 0.06888464328230277, 0.047292619309925926, 0.038646343332423755
NCDR-AAPR-2019, Eastern Mediterranean+South-East Asia, 0.0479306268592306, 0.07220669298933724, 0.08976475090963744, 0.05240531852636427
NCDR-AAPR-2019, Americas+Europe, 0.14952734235647677, 0.15100520629412176, 0.04941590812722229, 0.06032943015991613
NCDR-AAPR-2019, Europe, 0.15336569575826575, 0.1557088011305074, 0.07004742913746131, 0.06779292120800577
NCDR-AAPR-2019, Americas+South-East Asia, 0.1161380866155884, 0.09537193367034277, 0.07039634947400457, 0.023873754751103583
