,Location,WHO region,World Bank income group,Period,Sex,FactValueNumeric,Comments,ParentLocation,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocationr,Location type,SpatialDimValueCode,Period type,Periodr,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumericr,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
133,Russian Federation,,,2019,Both sexes,619.5153,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,RUS,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,39.32,,,23.69,,55.77,39 [24-56],,,EN,2024-10-02T22:00:00.000Z
141,Serbia,,,2019,Both sexes,600.8104,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,SRB,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,45.42,,,34.43,,55.89,45 [34-56],,,EN,2024-10-02T22:00:00.000Z
145,Slovakia,,,2019,Both sexes,441.7813,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,SVK,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,30.37,,,22.28,,37.99,30 [22-38],,,EN,2024-10-02T22:00:00.000Z
146,Slovenia,,,2019,Both sexes,339.7941,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,SVN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,18.76,,,13.79,,23.52,19 [14-24],,,EN,2024-10-02T22:00:00.000Z
151,Spain,,,2019,Both sexes,282.0769,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,ESP,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,10.12,,,7.09,,13.32,10 [7-13],,,EN,2024-10-02T22:00:00.000Z
152,Sri Lanka,,,2019,Both sexes,466.6501,,South-East Asia,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,SEAR,South-East Asia,Country,LKA,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,37.12,,,26.48,,48.01,37 [26-48],,,EN,2024-10-02T22:00:00.000Z
155,Sweden,,,2019,Both sexes,300.5463,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,SWE,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,8.08,,,4.94,,11.33,8 [5-11],,,EN,2024-10-02T22:00:00.000Z
156,Switzerland,,,2019,Both sexes,269.5769,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,CHE,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,10.4,,,6.9,,13.66,10 [7-14],,,EN,2024-10-02T22:00:00.000Z
158,Tajikistan,,,2019,Both sexes,876.12,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,TJK,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,159.6,,,119.5,,200.0,160 [119-200],,,EN,2024-10-02T22:00:00.000Z
159,Thailand,,,2019,Both sexes,362.563,,South-East Asia,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,SEAR,South-East Asia,Country,THA,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,29.07,,,23.08,,35.48,29 [23-35],,,EN,2024-10-02T22:00:00.000Z
160,Timor-Leste,,,2019,Both sexes,570.3933,,South-East Asia,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,SEAR,South-East Asia,Country,TLS,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,61.18,,,33.37,,95.62,61 [33-96],,,EN,2024-10-02T22:00:00.000Z
165,Turkmenistan,,,2019,Both sexes,668.159,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,TKM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,87.03,,,61.8,,112.0,87 [62-112],,,EN,2024-10-02T22:00:00.000Z
167,Ukraine,,,2019,Both sexes,649.0498,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,UKR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,66.0,,,40.12,,88.62,66 [40-89],,,EN,2024-10-02T22:00:00.000Z
169,United Kingdom of Great Britain and Northern Ireland,,,2019,Both sexes,329.8761,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,GBR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,13.45,,,9.46,,17.96,13 [9-18],,,EN,2024-10-02T22:00:00.000Z
173,Uzbekistan,,,2019,Both sexes,673.0668,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,UZB,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,117.1,,,86.16,,147.0,117 [86-147],,,EN,2024-10-02T22:00:00.000Z
