,Location,WHO region,World Bank income group,Period,Sex,FactValueNumeric,Comments,ParentLocation,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocationr,Location type,SpatialDimValueCode,Period type,Periodr,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumericr,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
29,Cameroon,,,2019,Both sexes,660.5367,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,CMR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,103.0,,,79.67,,128.6,103 [80-129],,,EN,2024-10-02T22:00:00.000Z
31,Central African Republic,,,2019,Both sexes,911.1475,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,CAF,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,99.92,,,30.95,,176.3,100 [31-176],,,EN,2024-10-02T22:00:00.000Z
32,Chad,,,2019,Both sexes,626.21,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,TCD,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,100.7,,,70.77,,135.7,101 [71-136],,,EN,2024-10-02T22:00:00.000Z
34,China,,,2019,Both sexes,491.525,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,CHN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,64.06,,,49.99,,79.77,64 [50-80],,,EN,2024-10-02T22:00:00.000Z
36,Comoros,,,2019,Both sexes,577.9128,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,COM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,46.61,,,25.13,,69.41,47 [25-69],,,EN,2024-10-02T22:00:00.000Z
37,Congo,,,2019,Both sexes,642.8678,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,COG,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,66.62,,,22.0,,120.6,67 [22-121],,,EN,2024-10-02T22:00:00.000Z
44,Democratic Republic of the Congo,,,2019,Both sexes,652.8545,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,COD,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,72.54,,,25.97,,130.1,73 [26-130],,,EN,2024-10-02T22:00:00.000Z
51,Equatorial Guinea,,,2019,Both sexes,637.1171,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,GNQ,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,60.01,,,17.87,,104.9,60 [18-105],,,EN,2024-10-02T22:00:00.000Z
52,Eritrea,,,2019,Both sexes,713.5643,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,ERI,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,78.9,,,39.8,,124.7,79 [40-125],,,EN,2024-10-02T22:00:00.000Z
54,Eswatini,,,2019,Both sexes,917.1078,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,SWZ,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,66.03,,,43.95,,88.89,66 [44-89],,,EN,2024-10-02T22:00:00.000Z
55,Ethiopia,,,2019,Both sexes,511.2582,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,ETH,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,47.56,,,31.41,,62.69,48 [31-63],,,EN,2024-10-02T22:00:00.000Z
56,Fiji,,,2019,Both sexes,923.4328,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,FJI,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,36.93,,,4.96,,61.16,37 [5-61],,,EN,2024-10-02T22:00:00.000Z
59,Gabon,,,2019,Both sexes,613.2721,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,GAB,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,53.38,,,19.64,,91.47,53 [20-91],,,EN,2024-10-02T22:00:00.000Z
60,Gambia,,,2019,Both sexes,595.4962,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,GMB,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,91.48,,,63.84,,121.0,91 [64-121],,,EN,2024-10-02T22:00:00.000Z
63,Ghana,,,2019,Both sexes,618.2837,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,GHA,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,90.27,,,68.65,,113.8,90 [69-114],,,EN,2024-10-02T22:00:00.000Z
67,Guinea,,,2019,Both sexes,660.1686,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,GIN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,96.71,,,67.33,,130.1,97 [67-130],,,EN,2024-10-02T22:00:00.000Z
68,Guinea-Bissau,,,2019,Both sexes,672.0589,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,GNB,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,90.92,,,61.42,,125.8,91 [61-126],,,EN,2024-10-02T22:00:00.000Z
82,Japan,,,2019,Both sexes,235.3629,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,JPN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,11.79,,,8.38,,15.65,12 [8-16],,,EN,2024-10-02T22:00:00.000Z
85,Kenya,,,2019,Both sexes,587.0545,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,KEN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,33.39,,,19.91,,47.97,33 [20-48],,,EN,2024-10-02T22:00:00.000Z
86,Kiribati,,,2019,Both sexes,1281.429,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,KIR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,49.2,,,0.0,,97.2,49 [0-97],,,EN,2024-10-02T22:00:00.000Z
89,Lao People's Democratic Republic,,,2019,Both sexes,699.9042,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,LAO,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,68.87,,,51.33,,87.36,69 [51-87],,,EN,2024-10-02T22:00:00.000Z
92,Lesotho,,,2019,Both sexes,1137.235,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,LSO,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,101.1,,,67.45,,134.1,101 [67-134],,,EN,2024-10-02T22:00:00.000Z
93,Liberia,,,2019,Both sexes,506.4478,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,LBR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,61.0,,,41.75,,80.82,61 [42-81],,,EN,2024-10-02T22:00:00.000Z
97,Madagascar,,,2019,Both sexes,665.2159,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,MDG,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,58.92,,,39.71,,81.03,59 [40-81],,,EN,2024-10-02T22:00:00.000Z
98,Malawi,,,2019,Both sexes,589.8055,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,MWI,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,43.58,,,15.03,,68.39,44 [15-68],,,EN,2024-10-02T22:00:00.000Z
99,Malaysia,,,2019,Both sexes,501.1372,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,MYS,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,62.84,,,48.38,,77.4,63 [48-77],,,EN,2024-10-02T22:00:00.000Z
101,Mali,,,2019,Both sexes,611.4052,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,MLI,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,68.16,,,43.74,,96.88,68 [44-97],,,EN,2024-10-02T22:00:00.000Z
103,Mauritania,,,2019,Both sexes,476.2181,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,MRT,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,64.45,,,39.63,,89.86,64 [40-90],,,EN,2024-10-02T22:00:00.000Z
104,Mauritius,,,2019,Both sexes,581.4777,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,MUS,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,27.8,,,18.29,,37.48,28 [18-37],,,EN,2024-10-02T22:00:00.000Z
