,Location,WHO region,World Bank income group,Period,Sex,FactValueNumeric,Comments,ParentLocation,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocationr,Location type,SpatialDimValueCode,Period type,Periodr,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumericr,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
87,Kuwait,,,2019,Both sexes,324.4085,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,KWT,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,45.26,,,36.91,,53.64,45 [37-54],,,EN,2024-10-02T22:00:00.000Z
89,Lao People's Democratic Republic,,,2019,Both sexes,699.9042,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,LAO,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,68.87,,,51.33,,87.36,69 [51-87],,,EN,2024-10-02T22:00:00.000Z
91,Lebanon,,,2019,Both sexes,526.887,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,LBN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,58.6,,,41.52,,74.96,59 [42-75],,,EN,2024-10-02T22:00:00.000Z
94,Libya,,,2019,Both sexes,478.9978,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,LBY,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,53.99,,,35.46,,71.09,54 [35-71],,,EN,2024-10-02T22:00:00.000Z
99,Malaysia,,,2019,Both sexes,501.1372,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,MYS,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,62.84,,,48.38,,77.4,63 [48-77],,,EN,2024-10-02T22:00:00.000Z
106,Micronesia (Federated States of),,,2019,Both sexes,1171.389,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,FSM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,54.2,,,0.0,,103.5,54 [0-103],,,EN,2024-10-02T22:00:00.000Z
107,Mongolia,,,2019,Both sexes,939.1735,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,MNG,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,119.8,,,90.83,,148.6,120 [91-149],,,EN,2024-10-02T22:00:00.000Z
109,Morocco,,,2019,Both sexes,643.9508,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,MAR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,59.27,,,40.9,,76.96,59 [41-77],,,EN,2024-10-02T22:00:00.000Z
114,New Zealand,,,2019,Both sexes,308.857,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,NZL,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,12.23,,,8.03,,16.31,12 [8-16],,,EN,2024-10-02T22:00:00.000Z
120,Oman,,,2019,Both sexes,683.6013,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,OMN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,104.1,,,72.45,,131.7,104 [72-132],,,EN,2024-10-02T22:00:00.000Z
121,Pakistan,,,2019,Both sexes,753.4131,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,PAK,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,106.7,,,82.3,,131.6,107 [82-132],,,EN,2024-10-02T22:00:00.000Z
123,Papua New Guinea,,,2019,Both sexes,837.5352,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,PNG,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,37.78,,,2.31,,75.07,38 [2-75],,,EN,2024-10-02T22:00:00.000Z
126,Philippines,,,2019,Both sexes,713.631,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,PHL,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,91.78,,,69.3,,114.8,92 [69-115],,,EN,2024-10-02T22:00:00.000Z
129,Qatar,,,2019,Both sexes,650.1274,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,QAT,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,90.81,,,70.2,,109.5,91 [70-109],,,EN,2024-10-02T22:00:00.000Z
130,Republic of Korea,,,2019,Both sexes,237.0526,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,KOR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,18.89,,,15.1,,22.84,19 [15-23],,,EN,2024-10-02T22:00:00.000Z
137,Samoa,,,2019,Both sexes,765.6934,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,WSM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,33.91,,,0.0,,71.49,34 [0-71],,,EN,2024-10-02T22:00:00.000Z
139,Saudi Arabia,,,2019,Both sexes,558.053,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,SAU,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,91.17,,,70.41,,112.3,91 [70-112],,,EN,2024-10-02T22:00:00.000Z
144,Singapore,,,2019,Both sexes,234.8398,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,SGP,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,23.42,,,15.81,,31.51,23 [16-32],,,EN,2024-10-02T22:00:00.000Z
147,Solomon Islands,,,2019,Both sexes,909.0732,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,SLB,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,57.08,,,0.0,,107.5,57 [0-108],,,EN,2024-10-02T22:00:00.000Z
148,Somalia,,,2019,Both sexes,769.1506,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,SOM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,66.06,,,36.23,,100.1,66 [36-100],,,EN,2024-10-02T22:00:00.000Z
153,Sudan,,,2019,Both sexes,625.6681,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,SDN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,70.52,,,43.13,,96.89,71 [43-97],,,EN,2024-10-02T22:00:00.000Z
157,Syrian Arab Republic,,,2019,Both sexes,633.5135,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,SYR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,83.24,,,60.8,,104.2,83 [61-104],,,EN,2024-10-02T22:00:00.000Z
162,Tonga,,,2019,Both sexes,624.7742,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,TON,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,23.87,,,0.0,,39.99,24 [0-40],,,EN,2024-10-02T22:00:00.000Z
164,Tunisia,,,2019,Both sexes,462.4613,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,TUN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,54.86,,,39.67,,69.86,55 [40-70],,,EN,2024-10-02T22:00:00.000Z
168,United Arab Emirates,,,2019,Both sexes,528.3586,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,ARE,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,70.04,,,55.14,,85.04,70 [55-85],,,EN,2024-10-02T22:00:00.000Z
174,Vanuatu,,,2019,Both sexes,986.3082,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,VUT,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,56.75,,,0.0,,111.6,57 [0-112],,,EN,2024-10-02T22:00:00.000Z
176,Viet Nam,,,2019,Both sexes,569.4175,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,VNM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,52.08,,,38.75,,67.22,52 [39-67],,,EN,2024-10-02T22:00:00.000Z
177,Yemen,,,2019,Both sexes,717.1033,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,YEM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,110.8,,,69.77,,158.5,111 [70-159],,,EN,2024-10-02T22:00:00.000Z
