,Location,WHO region,World Bank income group,Period,Sex,FactValueNumeric,Comments,ParentLocation,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocationr,Location type,SpatialDimValueCode,Period type,Periodr,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumericr,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
27,Cabo Verde,,,2019,Both sexes,512.8106,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,CPV,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,59.36,,,39.81,,80.42,59 [40-80],,,EN,2024-10-02T22:00:00.000Z
29,Cameroon,,,2019,Both sexes,660.5367,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,CMR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,103.0,,,79.67,,128.6,103 [80-129],,,EN,2024-10-02T22:00:00.000Z
31,Central African Republic,,,2019,Both sexes,911.1475,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,CAF,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,99.92,,,30.95,,176.3,100 [31-176],,,EN,2024-10-02T22:00:00.000Z
32,Chad,,,2019,Both sexes,626.21,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,TCD,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,100.7,,,70.77,,135.7,101 [71-136],,,EN,2024-10-02T22:00:00.000Z
36,Comoros,,,2019,Both sexes,577.9128,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,COM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,46.61,,,25.13,,69.41,47 [25-69],,,EN,2024-10-02T22:00:00.000Z
37,Congo,,,2019,Both sexes,642.8678,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,COG,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,66.62,,,22.0,,120.6,67 [22-121],,,EN,2024-10-02T22:00:00.000Z
39,Croatia,,,2019,Both sexes,443.7244,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,HRV,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,31.35,,,22.63,,39.48,31 [23-39],,,EN,2024-10-02T22:00:00.000Z
41,Cyprus,,,2019,Both sexes,284.164,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,CYP,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,15.76,,,11.35,,20.16,16 [11-20],,,EN,2024-10-02T22:00:00.000Z
42,Czechia,,,2019,Both sexes,416.7531,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,CZE,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,32.53,,,23.0,,40.94,33 [23-41],,,EN,2024-10-02T22:00:00.000Z
44,Democratic Republic of the Congo,,,2019,Both sexes,652.8545,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,COD,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,72.54,,,25.97,,130.1,73 [26-130],,,EN,2024-10-02T22:00:00.000Z
