,Location,WHO region,World Bank income group,Period,Sex,FactValueNumeric,Comments,ParentLocation,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocationr,Location type,SpatialDimValueCode,Period type,Periodr,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumericr,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
53,Estonia,,,2019,Both sexes,426.4981,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,EST,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,12.8,,,7.27,,18.29,13 [7-18],,,EN,2024-10-02T22:00:00.000Z
56,Fiji,,,2019,Both sexes,923.4328,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,FJI,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,36.93,,,4.96,,61.16,37 [5-61],,,EN,2024-10-02T22:00:00.000Z
57,Finland,,,2019,Both sexes,334.3098,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,FIN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,7.45,,,4.05,,10.66,7 [4-11],,,EN,2024-10-02T22:00:00.000Z
58,France,,,2019,Both sexes,290.0675,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,FRA,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,10.03,,,7.28,,13.02,10 [7-13],,,EN,2024-10-02T22:00:00.000Z
61,Georgia,,,2019,Both sexes,695.3605,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,GEO,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,69.19,,,49.13,,88.71,69 [49-89],,,EN,2024-10-02T22:00:00.000Z
62,Germany,,,2019,Both sexes,329.293,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,DEU,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,14.73,,,10.07,,19.18,15 [10-19],,,EN,2024-10-02T22:00:00.000Z
64,Greece,,,2019,Both sexes,329.0385,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,GRC,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,23.05,,,17.42,,28.83,23 [17-29],,,EN,2024-10-02T22:00:00.000Z
72,Hungary,,,2019,Both sexes,554.4997,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,HUN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,42.29,,,29.7,,53.61,42 [30-54],,,EN,2024-10-02T22:00:00.000Z
73,Iceland,,,2019,Both sexes,304.9298,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,ISL,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,8.16,,,4.67,,12.2,8 [5-12],,,EN,2024-10-02T22:00:00.000Z
78,Ireland,,,2019,Both sexes,326.8401,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,IRL,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,12.78,,,8.45,,17.25,13 [8-17],,,EN,2024-10-02T22:00:00.000Z
