,Location,Period,Sex,Data Source,FactValueNumeric,Comments,ParentLocation,Periodr,Sexr,Data Sourcer,FactValueNumericr,Commentsr,ParentLocationr
129,Peru,2004,Both sexes,,3.4,,Americas,2004,Both sexes,,1.0,,Americas
138,Saint Kitts and Nevis,2004,Both sexes,,11.3,,Americas,2004,Both sexes,,4.4,,Americas
139,Saint Lucia,2004,Both sexes,,22.4,,Americas,2004,Both sexes,,1.9,,Americas
140,Saint Vincent and the Grenadines,2004,Both sexes,,16.6,,Americas,2004,Both sexes,,4.1,,Americas
143,Saudi Arabia,2004,Both sexes,,3.1,,Eastern Mediterranean,2004,Both sexes,,0.4,,Eastern Mediterranean
150,Somalia,2004,Both sexes,,1.9,,Eastern Mediterranean,2004,Both sexes,,2.1,,Eastern Mediterranean
154,Sudan,2004,Both sexes,,31.0,,Eastern Mediterranean,2004,Both sexes,,1.3,,Eastern Mediterranean
155,Suriname,2004,Both sexes,,12.9,,Americas,2004,Both sexes,,0.7000000000000001,,Americas
159,Syrian Arab Republic,2004,Both sexes,,3.0,,Eastern Mediterranean,2004,Both sexes,,0.6000000000000001,,Eastern Mediterranean
166,Trinidad and Tobago,2004,Both sexes,,12.9,,Americas,2004,Both sexes,,0.8,,Americas
167,Tunisia,2004,Both sexes,,1.7000000000000002,,Eastern Mediterranean,2004,Both sexes,,1.6,,Eastern Mediterranean
172,United Arab Emirates,2004,Both sexes,,0.5,,Eastern Mediterranean,2004,Both sexes,,1.1,,Eastern Mediterranean
175,United States of America,2004,Both sexes,,6.2,,Americas,2004,Both sexes,,2.1,,Americas
176,Uruguay,2004,Both sexes,,4.9,,Americas,2004,Both sexes,,1.2,,Americas
179,Venezuela (Bolivarian Republic of),2004,Both sexes,,38.2,,Americas,2004,Both sexes,,0.6000000000000001,,Americas
181,Yemen,2004,Both sexes,,3.2,,Eastern Mediterranean,2004,Both sexes,,0.5,,Eastern Mediterranean
