IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NCD_DTH_TOT,Total NCD Deaths,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2019,false,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,118581,,,60201,,208945,119 000 [60 200-209 000],,,EN,2025-03-18T23:00:00.000Z
NCD_DTH_TOT,Total NCD Deaths,numeric,EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2019,false,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,119215,,,62524,,193157,119 000 [62 500-193 000],,,EN,2025-03-18T23:00:00.000Z
NCD_DTH_TOT,Total NCD Deaths,numeric,EUR,Europe,Country,KAZ,Kazakhstan,Year,2019,false,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,119427,,,92960,,139700,119 000 [93 000-140 000],,,EN,2025-03-18T23:00:00.000Z
NCD_DTH_TOT,Total NCD Deaths,numeric,AFR,Africa,Country,LSO,Lesotho,Year,2019,false,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,12114,,,6879,,23035,12 100 [6880-23 000],,,EN,2025-03-18T23:00:00.000Z
NCD_DTH_TOT,Total NCD Deaths,numeric,EMR,Eastern Mediterranean,Country,PSE,"occupied Palestinian territory, including east Jerusalem",Year,2019,false,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,12303,,,8112,,16951,12 300 [8110-17 000],,,EN,2025-03-18T23:00:00.000Z
NCD_DTH_TOT,Total NCD Deaths,numeric,EUR,Europe,Country,HUN,Hungary,Year,2019,false,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,121502,,,100679,,147004,122 000 [101 000-147 000],,,EN,2025-03-18T23:00:00.000Z
NCD_DTH_TOT,Total NCD Deaths,numeric,EUR,Europe,Country,NLD,Netherlands (Kingdom of the),Year,2019,false,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,124906,,,94558,,163035,125 000 [94 600-163 000],,,EN,2025-03-18T23:00:00.000Z
NCD_DTH_TOT,Total NCD Deaths,numeric,AFR,Africa,Country,ERI,Eritrea,Year,2019,false,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,13538,,,7530,,25102,13 500 [7530-25 100],,,EN,2025-03-18T23:00:00.000Z
NCD_DTH_TOT,Total NCD Deaths,numeric,AFR,Africa,Country,LBR,Liberia,Year,2019,false,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,13553,,,7288,,24268,13 600 [7290-24 300],,,EN,2025-03-18T23:00:00.000Z
NCD_DTH_TOT,Total NCD Deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2019,false,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,130019,,,76446,,216370,130 000 [76 400-216 000],,,EN,2025-03-18T23:00:00.000Z
