Region, p-Value Sample, p-Value Modified, p-Value Sample (Orig.), p-Value Modified (Orig.), Rep.Score, Imputation Delta, Mean (Sample))
Africa+Americas, 0.060704881889592, 0.7727498426300592, 0.0006783145095143883, 0.02325056660635738, 0.0006783145095143883, 5.3305235448777495, 70.93939393939394
Americas+Western Pacific, 0.9998321571826392, 0.8664814380674911, 0.9535200947436833, 0.9994033968350358, 0.9535200947436833, 1.9689260479212578, 79.3
Eastern Mediterranean, 0.5115206697960579, 0.5749450911479792, 0.39507903630995767, 0.2500888341200165, 0.39507903630995767, 3.198509428424856, 83.33333333333333
Europe, 0.17763141927328086, 0.33250597901270595, 0.0010491932586207398, 0.0074281705243745, 0.0010491932586207398, 10.598585390198522, 91.39622641509433
Eastern Mediterranean+Western Pacific, 0.8335694085410135, 0.6171778611852078, 0.7854845432626407, 0.4262170340979864, 0.7854845432626407, 2.1159252425558464, 82.2127659574468
South-East Asia, 0.9077574917391201, 0.9198611849419362, 0.9530286315151146, 0.31532125654303245, 0.9530286315151146, 4.543617161600835, 85.36363636363636
Americas+Eastern Mediterranean, 0.9158324521523118, 0.9948717867888395, 0.9795690357948781, 0.9999924032288269, 0.9795690357948781, 0.8483186340194209, 79.89090909090909
Africa+Europe, 0.9973819416862311, 0.9762152592375419, 0.9998950943718329, 0.9421293037885451, 0.9998950943718329, 0.3110948141212049, 80.96470588235294
Africa+South-East Asia, 0.06365590033616253, 0.9249916658838215, 0.0005005312105735849, 0.04664894663564745, 0.0005005312105735849, 6.073257704587206, 69.23255813953489
Africa+Western Pacific, 0.40422242688216936, 0.9956139716926947, 0.01306831061583047, 0.4884473570317608, 0.01306831061583047, 8.038576511467724, 71.58620689655173
Eastern Mediterranean+South-East Asia, 0.44090759588596473, 0.3037065799289007, 0.7186241624345542, 0.5437992140738394, 0.7186241624345542, 3.00715044359724, 84.03125
Eastern Mediterranean+Europe, 0.567646933031585, 0.7024422730100757, 0.0075837467397011915, 0.0025487257024737753, 0.0075837467397011915, 6.563408105753112, 89.10810810810811
Americas+Europe, 0.49735302457284847, 0.5615496416908881, 0.10202721663078729, 0.14469363519550427, 0.10202721663078729, 4.136638078395464, 86.06896551724138
Americas, 0.9404882657933167, 0.9995801375138993, 0.5975131955644478, 0.9837096947409213, 0.5975131955644478, 3.0233283294059135, 77.76470588235294
South-East Asia+Western Pacific, 0.4000214504652636, 0.9351235952581348, 0.9990174706348477, 0.9972965259610489, 0.9990174706348477, 4.2718555551515465, 82.51351351351352
Western Pacific, 0.4536968205242451, 0.7570230848877231, 0.9736586982078416, 0.9835656418939505, 0.9736586982078416, 0.9097781596934027, 81.3076923076923
Americas+South-East Asia, 0.9988568711559322, 0.9891309685605789, 0.7423607511538153, 0.9546993304977579, 0.7423607511538153, 1.3553794671013861, 79.62222222222222
Africa, 0.003583892541478395, 0.8722641076472143, 2.05665267832833e-05, 0.07620957533640904, 2.05665267832833e-05, 16.774369021250507, 63.6875
Africa+Eastern Mediterranean, 0.0669597741371818, 0.9617726325182899, 0.005558448630144319, 0.3424054072833016, 0.005558448630144319, 4.541906511898603, 71.47169811320755
Europe+South-East Asia, 0.19680925065097787, 0.43597759461841046, 0.006495738239932547, 0.022013740359170364, 0.006495738239932547, 9.334962631052164, 90.359375
Europe+Western Pacific, 0.14667689226271918, 0.44785839991152554, 0.005830091162225437, 0.006495738239932547, 0.005830091162225437, 9.372382950329467, 88.07594936708861

Proxy-Score (PCC): (0.7487628485883734, 4.465265061326023e-33)
Proxy-Score Sample: 0.6190476190476191
Proxy-Score Modified Sample: 0.7142857142857143
Proxy-Score Total: 0.6666666666666666

Modified is Improvement (Proxy): 0.7619047619047619
Modified is Improvement (Original): 0.6666666666666666

Representativeness of Initial Sample: 0.44002680340560607

Avg. Mean (Sample): 80.39193885950858
