,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
33,Congo,NCD_DTH_TOT,Total NCD Deaths,numeric,AFR,Africa,Country,COG,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,15190,,,7709,,25033,15 200 [7710-25 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,COG,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,1467.0,,,453.8,,2717.0,1467 [454-2717],,,EN,2024-10-02T22:00:00.000Z
41,Algeria,NCD_DTH_TOT,Total NCD Deaths,numeric,AFR,Africa,Country,DZA,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,161312,,,97359,,250203,161 000 [97 400-250 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,DZA,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,17408.0,,,11758.0,,22990.0,17 408 [11 758-22 990],,,EN,2024-10-02T22:00:00.000Z
49,Cabo Verde,NCD_DTH_TOT,Total NCD Deaths,numeric,AFR,Africa,Country,CPV,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,2037,,,1442,,3800,2040 [1440-3800],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,CPV,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,226.1,,,151.1,,307.1,226 [151-307],,,EN,2024-10-02T22:00:00.000Z
52,Democratic People's Republic of Korea,NCD_DTH_TOT,Total NCD Deaths,numeric,SEAR,South-East Asia,Country,PRK,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,211200,,,125791,,334484,211 000 [126 000-334 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,SEAR,South-East Asia,Country,PRK,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,26499.0,,,19547.0,,34340.0,26 499 [19 547-34 340],,,EN,2024-10-02T22:00:00.000Z
55,Sierra Leone,NCD_DTH_TOT,Total NCD Deaths,numeric,AFR,Africa,Country,SLE,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,23539,,,13008,,42202,23 500 [13 000-42 200],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,SLE,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,3890.0,,,2459.0,,5367.0,3890 [2459-5367],,,EN,2024-10-02T22:00:00.000Z
59,Maldives,NCD_DTH_TOT,Total NCD Deaths,numeric,SEAR,South-East Asia,Country,MDV,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,2366,,,1845,,4296,2370 [1840-4300],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,SEAR,South-East Asia,Country,MDV,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,80.42,,,54.02,,107.4,80 [54-107],,,EN,2024-10-02T22:00:00.000Z
62,Ethiopia,NCD_DTH_TOT,Total NCD Deaths,numeric,AFR,Africa,Country,ETH,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,246626,,,148336,,392147,247 000 [148 000-392 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,ETH,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,26714.0,,,17357.0,,35835.0,26 714 [17 357-35 835],,,EN,2024-10-02T22:00:00.000Z
67,South Sudan,NCD_DTH_TOT,Total NCD Deaths,numeric,AFR,Africa,Country,SSD,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,26121,,,12806,,47925,26 100 [12 800-47 900],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,SSD,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,3024.0,,,1603.0,,4671.0,3024 [1603-4671],,,EN,2024-10-02T22:00:00.000Z
68,Togo,NCD_DTH_TOT,Total NCD Deaths,numeric,AFR,Africa,Country,TGO,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,26944,,,13827,,46132,26 900 [13 800-46 100],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,TGO,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,3336.0,,,2357.0,,4328.0,3336 [2357-4328],,,EN,2024-10-02T22:00:00.000Z
70,Comoros,NCD_DTH_TOT,Total NCD Deaths,numeric,AFR,Africa,Country,COM,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,2675,,,1345,,4618,2680 [1350-4620],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,COM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,196.2,,,100.2,,303.7,196 [100-304],,,EN,2024-10-02T22:00:00.000Z
