Region, p-Value Sample, p-Value Modified, p-Value Sample (Orig.), p-Value Modified (Orig.), Rep.Score, Imputation Delta, Mean (Sample))
Europe+Western Pacific, 0.0014370902351101833, 0.3131099247885486, 0.8082977445780122, 0.9093123661338016, 0.8082977445780122, 5.587498613169856, 86.70175438596492
Americas+South-East Asia, 0.1344160972905759, 0.6388483514972177, 0.8981109750086788, 0.46603709617538647, 0.8981109750086788, 11.765652405396452, 78.48275862068965
Eastern Mediterranean+Europe, 0.005225582672150453, 0.4055152071523387, 0.3920434130133611, 0.34675004097581275, 0.3920434130133611, 3.176526134505096, 87.94545454545455
Americas+Western Pacific, 0.11194587357324481, 0.6807194683257456, 0.9999994592624715, 0.27526840637188266, 0.9999994592624715, 1.4233470962743127, 82.925
Africa+Eastern Mediterranean, 5.892192353806891e-06, 0.26835729145353215, 0.8691949135727518, 0.9503371152836217, 0.8691949135727518, 0.1651213132606273, 82.4
Western Pacific, 0.9690261536251421, 0.8129208540807875, 0.516588168498002, 0.8129208540807875, 0.516588168498002, 3.082308123249291, 79.82352941176471
Africa+Americas, 0.04165790462409458, 0.14837105491365765, 0.46352157219053713, 0.5508809665417518, 0.46352157219053713, 1.569415703957759, 83.17460317460318
Europe, 6.20194980346378e-05, 0.020704375975111544, 0.21124246391699786, 0.6262494999055854, 0.21124246391699786, 6.411468452380717, 89.625
Eastern Mediterranean+Western Pacific, 0.981151863705811, 0.9826548283420343, 0.5014775983768269, 0.22730325705224486, 0.5014775983768269, 0.6609748388061689, 81.53125
Eastern Mediterranean+South-East Asia, 0.32916573495120804, 0.5325454552723679, 0.39798743898507083, 0.5645804636181813, 0.39798743898507083, 4.59994298127954, 74.66666666666667
Africa+South-East Asia, 3.8693510306941903e-07, 0.07921754338538634, 0.4830356150340037, 0.2454522668143213, 0.4830356150340037, 12.443220551277022, 78.17391304347827
South-East Asia, 0.14711158941206204, 0.3725007386979218, 0.09907852084958169, 0.0011819166748744392, 0.09907852084958169, 30.323690476190258, 52.666666666666664
Americas+Europe, 1.0505116391223979e-05, 0.034024001768854895, 0.2547862831169956, 0.7873258469328452, 0.2547862831169956, 4.16816691410213, 88.01587301587301
Eastern Mediterranean, 0.5034530180243333, 0.44986097878820297, 0.6784094852270932, 0.1402302682701182, 0.6784094852270932, 0.648361904761984, 83.46666666666667
South-East Asia+Western Pacific, 0.5861707040568223, 0.9165024761684727, 0.16630731876841265, 0.28085845314250046, 0.16630731876841265, 25.814236935683297, 72.73913043478261
Africa+Western Pacific, 0.00011320783533919077, 0.4998838011583777, 0.44731274639397967, 0.9936492698704898, 0.44731274639397967, 1.9390569257271721, 81.35087719298245
Africa+Europe, 0.8480100811484403, 0.8606680790941296, 0.9499199155458343, 0.7831374802456852, 0.9499199155458343, 3.277162054448212, 85.8125
Americas, 0.023330231498691956, 0.36803238507379865, 0.8695691699503167, 0.8960356036601536, 0.8695691699503167, 2.0023312629402454, 85.21739130434783
Europe+South-East Asia, 0.0018211954717484158, 0.23224694131419987, 0.535304667110893, 0.9824995405099469, 0.535304667110893, 1.0798561991607158, 84.80434782608695
Americas+Eastern Mediterranean, 0.3701455181727563, 0.2006165881633999, 0.9985422257260715, 0.98423831380553, 0.9985422257260715, 1.047030441388003, 84.52631578947368
Africa, 3.109434670856004e-07, 0.18599649562809928, 0.4767512409391599, 0.5235522831379902, 0.4767512409391599, 1.0155119047617092, 82.0

Proxy-Score (PCC): (0.40970872380614975, 4.5357706124082343e-07)
Proxy-Score Sample: 0.47619047619047616
Proxy-Score Modified Sample: 0.8571428571428571
Proxy-Score Total: 0.6666666666666666

Modified is Improvement (Proxy): 0.8571428571428571
Modified is Improvement (Original): 0.5714285714285714

Representativeness of Initial Sample: 0.5722609969554787

Avg. Mean (Sample): 81.24046184502387
