Region, p-Value Sample, p-Value Modified, p-Value Sample (Orig.), p-Value Modified (Orig.), Rep.Score, Imputation Delta, Mean (Sample))
Europe+Western Pacific, 0.0014370902351101833, 0.3131099247885486, 0.8082977445780122, 0.9950332230594322, 0.8082977445780122, 5.380678790504064, 86.70175438596492
Americas+South-East Asia, 0.1344160972905759, 0.6388483514972177, 0.8981109750086788, 0.7648567637502097, 0.8981109750086788, 11.926896058050545, 78.48275862068965
Eastern Mediterranean+Europe, 0.005225582672150453, 0.4055152071523387, 0.3920434130133611, 0.9835736144527438, 0.3920434130133611, 3.0502313228609808, 87.94545454545455
Americas+Western Pacific, 0.11194587357324481, 0.6807194683257456, 0.9999994592624715, 0.5427375507276777, 0.9999994592624715, 1.722586864239375, 82.925
Africa+Eastern Mediterranean, 5.892192353806891e-06, 0.26835729145353215, 0.8691949135727518, 0.8565718309452772, 0.8691949135727518, 0.17310635773033312, 82.4
Western Pacific, 0.9690261536251421, 0.8129208540807875, 0.516588168498002, 0.4213453005917973, 0.516588168498002, 3.013014005602429, 79.82352941176471
Africa+Americas, 0.04165790462409458, 0.14837105491365765, 0.46352157219053713, 0.5508809665417518, 0.46352157219053713, 1.5940044988620912, 83.17460317460318
Europe, 6.20194980346378e-05, 0.02428375692872231, 0.21124246391699786, 0.7090948150852037, 0.21124246391699786, 6.440145238094928, 89.625
Eastern Mediterranean+Western Pacific, 0.981151863705811, 0.8485238176369436, 0.5014775983768269, 0.43589614879705985, 0.5014775983768269, 0.07694502719898821, 81.53125
Eastern Mediterranean+South-East Asia, 0.32916573495120804, 0.5325454552723679, 0.39798743898507083, 0.22508883936520596, 0.39798743898507083, 4.4497507306003286, 74.66666666666667
Africa+South-East Asia, 3.8693510306941903e-07, 0.07921754338538634, 0.4830356150340037, 0.2454522668143213, 0.4830356150340037, 13.707401164782851, 78.17391304347827
South-East Asia, 0.14711158941206204, 0.3725007386979218, 0.09907852084958169, 0.0011819166748744392, 0.09907852084958169, 28.888511904761984, 52.666666666666664
Americas+Europe, 1.0505116391223979e-05, 0.034024001768854895, 0.2547862831169956, 0.9902585407682297, 0.2547862831169956, 3.9104001170500027, 88.01587301587301
Eastern Mediterranean, 0.5034530180243333, 0.4767126727343389, 0.6784094852270932, 0.7431150399520374, 0.6784094852270932, 0.0968380952382546, 83.46666666666667
South-East Asia+Western Pacific, 0.5861707040568223, 0.7553878548338714, 0.16630731876841265, 0.28085845314250046, 0.16630731876841265, 26.003836756497584, 72.73913043478261
Africa+Western Pacific, 0.00011320783533919077, 0.4998838011583777, 0.44731274639397967, 0.964925356248151, 0.44731274639397967, 1.9378380693297714, 81.35087719298245
Africa+Europe, 0.8480100811484403, 0.8881457920195386, 0.9499199155458343, 0.9842435431729071, 0.9499199155458343, 3.2447539802625585, 85.8125
Americas, 0.023330231498691956, 0.36803238507379865, 0.8695691699503167, 0.4782788399770207, 0.8695691699503167, 2.023219461697437, 85.21739130434783
Europe+South-East Asia, 0.0018211954717484158, 0.23224694131419987, 0.535304667110893, 0.6197500353322073, 0.535304667110893, 0.6010156781707252, 84.80434782608695
Americas+Eastern Mediterranean, 0.3701455181727563, 0.26841812377854246, 0.9985422257260715, 0.8067698485328376, 0.9985422257260715, 1.403074539192744, 84.52631578947368
Africa, 3.109434670856004e-07, 0.09904877306029125, 0.4767512409391599, 0.48436467372650194, 0.4767512409391599, 0.9101833333335634, 82.0

Proxy-Score (PCC): (0.40970872380614975, 4.5357706124082343e-07)
Proxy-Score Sample: 0.47619047619047616
Proxy-Score Modified Sample: 0.8571428571428571
Proxy-Score Total: 0.6666666666666666

Modified is Improvement (Proxy): 0.8095238095238095
Modified is Improvement (Original): 0.5238095238095238

Representativeness of Initial Sample: 0.5722609969554787

Avg. Mean (Sample): 81.24046184502387
